USD,EURO,MLC,Fecha
670,760,410,2026-07-11 03:00
670,760,410,2026-07-11 02:00
670,760,410,2026-07-11 01:00
670,760,410,2026-07-11 00:00
670,760,410,2026-07-10 23:00
670,760,410,2026-07-10 22:00
670,760,410,2026-07-10 21:00
670,760,410,2026-07-10 20:00
670,760,410,2026-07-10 19:00
670,760,410,2026-07-10 18:00
670,762,410,2026-07-10 17:00
670,760,410,2026-07-10 16:00
670,760,410,2026-07-10 15:00
670,760,410,2026-07-10 14:00
670,760,410,2026-07-10 13:00
670,760,420,2026-07-10 12:00
670,760,425,2026-07-10 11:00
670,760,440,2026-07-10 10:00
670,760,450,2026-07-10 09:00
675,760,450,2026-07-10 08:00
675,760,450,2026-07-10 07:00
675,760,450,2026-07-10 06:00
675,760,450,2026-07-10 05:00
675,760,450,2026-07-10 04:00
675,760,450,2026-07-10 03:00
675,760,450,2026-07-10 02:00
675,760,450,2026-07-10 01:00
675,760,450,2026-07-10 00:00
675,760,450,2026-07-09 23:00
675,760,450,2026-07-09 22:00
675,760,450,2026-07-09 21:00
675,760,450,2026-07-09 20:00
675,760,450,2026-07-09 19:00
675,760,450,2026-07-09 18:00
675,760,450,2026-07-09 17:00
675,760,470,2026-07-09 16:00
675,760,495,2026-07-09 15:00
675,760,490,2026-07-09 14:00
680,760,490,2026-07-09 13:00
680,760,495,2026-07-09 12:00
680,760,492,2026-07-09 11:00
680,760,490,2026-07-09 10:00
680,760,490,2026-07-09 09:00
680,760,490,2026-07-09 08:00
680,760,490,2026-07-09 07:00
680,760,485,2026-07-09 06:00
680,760,480,2026-07-09 05:00
680,760,480,2026-07-09 04:00
680,760,480,2026-07-09 03:00
680,760,485,2026-07-09 02:00
680,760,485,2026-07-09 01:00
680,760,490,2026-07-09 00:00
680,760,490,2026-07-08 23:00
680,760,490,2026-07-08 22:00
680,765,490,2026-07-08 21:00
680,760,490,2026-07-08 20:00
680,760,490,2026-07-08 19:00
680,760,490,2026-07-08 18:00
680,760,495,2026-07-08 17:00
680,760,495,2026-07-08 16:00
680,760,495,2026-07-08 15:00
680,760,495,2026-07-08 14:00
680,760,492,2026-07-08 13:00
680,757,495,2026-07-08 12:00
680,760,492,2026-07-08 11:00
